Title,Abstract,PMID,PMCID,DOI,Cited Number,journal_title,Journal_id,impact_factor
Integrating genetic and non-genetic determinants of cancer evolution by single-cell multi-omics,"Cancer represents an evolutionary process through which growing malignant populations genetically diversify, leading to tumour progression, relapse and resistance to therapy. In addition to genetic diversity, the cell-to-cell variation that fuels evolutionary selection also manifests in cellular states, epigenetic profiles, spatial distributions and interactions with the microenvironment. Therefore, the study of cancer requires the integration of multiple heritable dimensions at the resolution of the single cell - the atomic unit of somatic evolution. In this Review, we discuss emerging analytic and experimental technologies for single-cell multi-omics that enable the capture and integration of multiple data modalities to inform the study of cancer evolution. These data show that cancer results from a complex interplay between genetic and non-genetic determinants of somatic evolution.",32807900,PMC8450921,10.1038/s41576-020-0265-5,144,Nature reviews. Genetics,100962779,59.581
Multi-omics integration in biomedical research - A metabolomics-centric review,"Recent advances in high-throughput technologies have enabled the profiling of multiple layers of a biological system, including DNA sequence data (genomics), RNA expression levels (transcriptomics), and metabolite levels (metabolomics). This has led to the generation of vast amounts of biological data that can be integrated in so-called multi-omics studies to examine the complex molecular underpinnings of health and disease. Integrative analysis of such datasets is not straightforward and is particularly complicated by the high dimensionality and heterogeneity of the data and by the lack of universal analysis protocols. Previous reviews have discussed various strategies to address the challenges of data integration, elaborating on specific aspects, such as network inference or feature selection techniques. Thereby, the main focus has been on the integration of two omics layers in their relation to a phenotype of interest. In this review we provide an overview over a typical multi-omics workflow, focusing on integration methods that have the potential to combine metabolomics data with two or more omics. We discuss multiple integration concepts including data-driven, knowledge-based, simultaneous and step-wise approaches. We highlight the application of these methods in recent multi-omics studies, including large-scale integration efforts aiming at a global depiction of the complex relationships within and between different biological layers without focusing on a particular phenotype.",33248648,PMC7701361,10.1016/j.aca.2020.10.038,68,Analytica chimica acta,370534,6.911
DeepProg: an ensemble of deep-learning and machine-learning models for prognosis prediction using multi-omics data,"Multi-omics data are good resources for prognosis and survival prediction; however, these are difficult to integrate computationally. We introduce DeepProg, a novel ensemble framework of deep-learning and machine-learning approaches that robustly predicts patient survival subtypes using multi-omics data. It identifies two optimal survival subtypes in most cancers and yields significantly better risk-stratification than other multi-omics integration methods. DeepProg is highly predictive, exemplified by two liver cancer (C-index 0.73-0.80) and five breast cancer datasets (C-index 0.68-0.73). Pan-cancer analysis associates common genomic signatures in poor survival subtypes with extracellular matrix modeling, immune deregulation, and mitosis processes. DeepProg is freely available at https://github.com/lanagarmire/DeepProg.",34261540,PMC8281595,10.1186/s13073-021-00930-x,61,Genome medicine,101475844,15.266
Integrative Multi-omics Analysis of Childhood Aggressive Behavior,"This study introduces and illustrates the potential of an integrated multi-omics approach in investigating the underlying biology of complex traits such as childhood aggressive behavior. In 645 twins (cases = 42%), we trained single- and integrative multi-omics models to identify biomarkers for subclinical aggression and investigated the connections among these biomarkers. Our data comprised transmitted and two non-transmitted polygenic scores (PGSs) for 15 traits, 78,772 CpGs, and 90 metabolites. The single-omics models selected 31 PGSs, 1614 CpGs, and 90 metabolites, and the multi-omics model comprised 44 PGSs, 746 CpGs, and 90 metabolites. The predictive accuracy for these models in the test (N = 277, cases = 42%) and independent clinical data (N = 142, cases = 45%) ranged from 43 to 57%. We observed strong connections between DNA methylation, amino acids, and parental non-transmitted PGSs for ADHD, Autism Spectrum Disorder, intelligence, smoking initiation, and self-reported health. Aggression-related omics traits link to known and novel risk factors, including inflammation, carcinogens, and smoking.",36344863,PMC9922241,10.1007/s10519-022-10126-7,3,Behavior genetics,251711,2.965
A Customizable Analysis Flow in Integrative Multi-Omics,"The number of researchers using multi-omics is growing. Though still expensive, every year it is cheaper to perform multi-omic studies, often exponentially so. In addition to its increasing accessibility, multi-omics reveals a view of systems biology to an unprecedented depth. Thus, multi-omics can be used to answer a broad range of biological questions in finer resolution than previous methods. We used six omic measurements-four nucleic acid (i.e., genomic, epigenomic, transcriptomics, and metagenomic) and two mass spectrometry (proteomics and metabolomics) based-to highlight an analysis workflow on this type of data, which is often vast. This workflow is not exhaustive of all the omic measurements or analysis methods, but it will provide an experienced or even a novice multi-omic researcher with the tools necessary to analyze their data. This review begins with analyzing a single ome and study design, and then synthesizes best practices in data integration techniques that include machine learning. Furthermore, we delineate methods to validate findings from multi-omic integration. Ultimately, multi-omic integration offers a window into the complexity of molecular interactions and a comprehensive view of systems biology.",33260881,PMC7760368,10.3390/biom10121606,7,Biomolecules,101596414,6.064
Multi-Omics Data Analysis Identifies Prognostic Biomarkers across Cancers,"Combining omics data from different layers using integrative methods provides a better understanding of the biology of a complex disease such as cancer. The discovery of biomarkers related to cancer development or prognosis helps to find more effective treatment options. This study integrates multi-omics data of different cancer types with a network-based approach to explore common gene modules among different tumors by running community detection methods on the integrated network. The common modules were evaluated by several biological metrics adapted to cancer. Then, a new prognostic scoring method was developed by weighting mRNA expression, methylation, and mutation status of genes. The survival analysis pointed out statistically significant results forGNG11,CBX2,CDKN3,ARHGEF10,CLN8,SEC61GandPTDSS1genes. The literature search reveals that the identified biomarkers are associated with the same or different types of cancers. Our method does not only identify known cancer-specific biomarker genes, but also proposes new potential biomarkers. Thus, this study provides a rationale for identifying new gene targets and expanding treatment options across cancer types.",37489460,PMC10366886,10.3390/medsci11030044,3,"Medical sciences (Basel, Switzerland)",101629322,0.0
Integrative analysis of multi-omics data for liquid biopsy,"The innovation of liquid biopsy holds great potential to revolutionise cancer management through early diagnosis and timely treatment of cancer. Integrative analysis of different tumour-derived omics data (such as genomics, epigenetics, fragmentomics, and proteomics) from body fluids for cancer detection and monitoring could outperform the analysis of single modality data alone. In this review, we focussed on the discussion of early cancer detection and molecular residual disease surveillance based on multi-omics data of blood. We summarised diverse types of tumour-derived components, current popular platforms for profiling cancer-associated signals, machine learning approaches for joint analysis of liquid biopsy data, as well as multi-omics-based early detection of cancers, molecular residual disease monitoring, and treatment response surveillance. We also discussed the challenges and future directions of multi-omics-based liquid biopsy. With the development of both experimental protocols and computational methods dedicated to liquid biopsy, the implementation of multi-omics strategies into the clinical workflow will likely benefit the clinical management of cancers including decision-making guidance and patient outcome improvement.",36357703,PMC9938261,10.1038/s41416-022-02048-2,5,British journal of cancer,370635,9.075
Computational Analysis of Phosphoproteomics Data in Multi-Omics Cancer Studies,"Multiple types of molecular data for the same set of clinical samples are increasingly available and may be analyzed jointly in an integrative analysis to maximize comprehensive biological insight. This analysis is important as separate analyses of individual omics data types usually do not fully explain disease phenotypes. An increasing number of studies have now been focusing on multi-omics data integration, yet not many studies have included phosphoproteomics data, an important layer for understanding signaling pathways. Multi-omics integration methods with phosphoproteomics data are reviewed in the context of cancer research as well as multi-omics methods papers that would be promising to apply to phosphoproteomics data. Analysis of individual data types is still the major approach even in large cohort proteogenomics studies. Hence, a section is dedicated on possible integrative methods for multi-omics and phosphoproteomics data. In summary, this review provides the readers with both currently used integrative methods previously applied to phosphoproteomics and multi-omics data integration and other algorithms for multi-omics data integration promising for future application to phosphoproteomics data.",32875713,,10.1002/pmic.201900312,7,Proteomics,101092707,5.393
Spatial transformation of multi-omics data unlocks novel insights into cancer biology,"The application of next-generation sequencing (NGS) has transformed cancer research. As costs have decreased, NGS has increasingly been applied to generate multiple layers of molecular data from the same samples, covering genomics, transcriptomics, and methylomics. Integrating these types of multi-omics data in a combined analysis is now becoming a common issue with no obvious solution, often handled on an ad hoc basis, with multi-omics data arriving in a tabular format and analyzed using computationally intensive statistical methods. These methods particularly ignore the spatial orientation of the genome and often apply stringent p-value corrections that likely result in the loss of true positive associations. Here, we present GENIUS (GEnome traNsformatIon and spatial representation of mUltiomicS data), a framework for integrating multi-omics data using deep learning models developed for advanced image analysis. The GENIUS framework is able to transform multi-omics data into images with genes displayed as spatially connected pixels and successfully extract relevant information with respect to the desired output. We demonstrate the utility of GENIUS by applying the framework to multi-omics datasets from the Cancer Genome Atlas. Our results are focused on predicting the development of metastatic cancer from primary tumors, and demonstrate how through model inference, we are able to extract the genes which are driving the model prediction and are likely associated with metastatic disease progression. We anticipate our framework to be a starting point and strong proof of concept for multi-omics data transformation and analysis without the need for statistical correction.",37669321,PMC10479962,10.7554/eLife.87133,1,eLife,101579614,8.713
Multi-Staged Data-Integrated Multi-Omics Analysis for Symptom Science Research,"The incorporation of omics approaches into symptom science research can provide researchers with information about the molecular mechanisms that underlie symptoms. Most of the omics analyses in symptom science have used a single omics approach. Therefore, these analyses are limited by the information contained within a specific omics domain (e.g., genomics and inherited variations, transcriptomics and gene function). A multi-staged data-integrated multi-omics (MS-DIMO) analysis integrates multiple types of omics data in a single study. With this integration, a MS-DIMO analysis can provide a more comprehensive picture of the complex biological mechanisms that underlie symptoms. The results of a MS-DIMO analysis can be used to refine mechanistic hypotheses and/or discover therapeutic targets for specific symptoms. The purposes of this paper are to: (1) describe a MS-DIMO analysis using ""Symptom X"" as an example; (2) discuss a number of challenges associated with specific omics analyses and how a MS-DIMO analysis can address them; (3) describe the various orders of omics data that can be used in a MS-DIMO analysis; (4) describe omics analysis tools; and (5) review case exemplars of MS-DIMO analyses in symptom science. This paper provides information on how a MS-DIMO analysis can strengthen symptom science research through the prioritization of functional genes and biological processes associated with a specific symptom.",33827270,PMC8726420,10.1177/10998004211003980,4,Biological research for nursing,9815758,2.318
Identifying biomarkers associated with immunotherapy response in melanoma by multi-omics analysis,"Despite immune checkpoint inhibitors (ICIs) have shown the greatest success in melanoma treatment, only a subset of melanoma patients responds well to ICIs. Thus, identifying predictive biomarkers for immunotherapy response is crucial. In this study, we took complementary advantages of immunotherapy data and The Cancer Genome Atlas (TCGA) multi-omics data to explore the predictive biomarkers for the response to immunotherapy in melanoma. We first predicted responsive and non-responsive melanomas in the TCGA skin cutaneous melanoma (SKCM) cohort based on both somatic mutation and transcriptome datasets which involved immunotherapy data for melanoma. This method identified 170 responsive and 56 non-responsive melanomas in TCGA-SKCM. Based on the TCGA-SKCM data, we performed a comprehensive comparison of multi-omics molecular features between responsive and non-responsive melanomas. We identified the molecular features significantly associated with immunotherapy response in melanoma at the genome, transcriptome, epigenome, and proteome levels, respectively. Our analysis confirmed certain immunotherapy response-associated biomarkers, such as tumor mutation burden (TMB), copy number alteration (CNA), intratumor heterogeneity (ITH), PD-L1 expression, and tumor immunity. Moreover, we identified some novel molecular features associated with immunotherapy response: (1) the activation of mast cells and dendritic cells correlating negatively with immunotherapy response; (2) the enrichment of many oncogenic pathways correlating positively with immunotherapy response, such as JAK-STAT, RAS, MAPK, HIF-1, PI3K-Akt, and VEGF pathways; and (3) a number of microRNAs and proteins whose expression correlates with immunotherapy response. In addition, the mTOR signaling pathway has a negative association with immunotherapy response. The novel biomarkers have potential predictive values in immunotherapy response and warrant further investigation.",37875043,,10.1016/j.compbiomed.2023.107591,2,Computers in biology and medicine,1250250,6.698
"Integrative, multi-omics, analysis of blood samples improves model predictions: applications to cancer","Background:Cancer genomic studies often include data collected from several omics platforms. Each omics data source contributes to the understanding of the underlying biological process via source specific (""individual"") patterns of variability. At the same time, statistical associations and potential interactions among the different data sources can reveal signals from common biological processes that might not be identified by single source analyses. These common patterns of variability are referred to as ""shared"" or ""joint"". In this work, we show how the use of joint and individual components can lead to better predictive models, and to a deeper understanding of the biological process at hand. We identify joint and individual contributions of DNA methylation, miRNA and mRNA expression collected from blood samples in a lung cancer case-control study nested within the Norwegian Women and Cancer (NOWAC) cohort study, and we use such components to build prediction models for case-control and metastatic status. To assess the quality of predictions, we compare models based on simultaneous, integrative analysis of multi-source omics data to a standard non-integrative analysis of each single omics dataset, and to penalized regression models. Additionally, we apply the proposed approach to a breast cancer dataset from The Cancer Genome Atlas.Results:Our results show how an integrative analysis that preserves both components of variation is more appropriate than standard multi-omics analyses that are not based on such a distinction. Both joint and individual components are shown to contribute to a better quality of model predictions, and facilitate the interpretation of the underlying biological processes in lung cancer development.Conclusions:In the presence of multiple omics data sources, we recommend the use of data integration techniques that preserve the joint and individual components across the omics sources. We show how the inclusion of such components increases the quality of model predictions of clinical outcomes.",34353282,PMC8340537,10.1186/s12859-021-04296-0,7,BMC bioinformatics,100965194,3.307
Integrative Multi-Omics Through Bioinformatics,"This chapter introduces different aspects of bioinformatics with a brief discussion in the systems biology context. Example applications in network pharmacology of traditional Chinese medicine, systems metabolic engineering, and plant genome-scale modelling are described. Lastly, this chapter concludes on how bioinformatics helps to integrate omics data derived from various studies described in previous chapters for a holistic understanding of secondary metabolite production in P. minus.",30382569,,10.1007/978-3-319-98758-3_5,7,Advances in experimental medicine and biology,121103,3.65
PIntMF: Penalized Integrative Matrix Factorization method for multi-omics data,"Motivation:It is more and more common to perform multi-omics analyses to explore the genome at diverse levels and not only at a single level. Through integrative statistical methods, multi-omics data have the power to reveal new biological processes, potential biomarkers and subgroups in a cohort. Matrix factorization (MF) is an unsupervised statistical method that allows a clustering of individuals, but also reveals relevant omics variables from the various blocks.Results:Here, we present PIntMF (Penalized Integrative Matrix Factorization), an MF model with sparsity, positivity and equality constraints. To induce sparsity in the model, we used a classical Lasso penalization on variable and individual matrices. For the matrix of samples, sparsity helps in the clustering, while normalization (matching an equality constraint) of inferred coefficients is added to improve interpretation. Moreover, we added an automatic tuning of the sparsity parameters using the famous glmnet package. We also proposed three criteria to help the user to choose the number of latent variables. PIntMF was compared with other state-of-the-art integrative methods including feature selection techniques in both synthetic and real data. PIntMF succeeds in finding relevant clusters as well as variables in two types of simulated data (correlated and uncorrelated). Next, PIntMF was applied to two real datasets (Diet and cancer), and it revealed interpretable clusters linked to available clinical data. Our method outperforms the existing ones on two criteria (clustering and variable selection). We show that PIntMF is an easy, fast and powerful tool to extract patterns and cluster samples from multi-omics data.Availability and implementation:An R package is available at https://github.com/mpierrejean/pintmf.Supplementary information:Supplementary data are available at Bioinformatics online.",34849583,PMC8796362,10.1093/bioinformatics/btab786,5,"Bioinformatics (Oxford, England)",9808944,6.931
Integrative human and murine multi-omics: Highlighting shared biomarkers in the neuronal ceroid lipofuscinoses,"Neuronal ceroid lipofuscinosis (NCL) is a group of neurodegenerative disorders whose molecular mechanisms remain largely unknown. Omics approaches are among the methods that generate new information on modifying factors and molecular signatures. Moreover, omics data integration can address the need to progressively expand knowledge around the disease and pinpoint specific proteins to promote as candidate biomarkers. In this work, we integrated a total of 62 proteomic and transcriptomic datasets originating from humans and mice, employing a new approach able to define dysregulated processes across species, stages and NCL forms. Moreover, we selected a pool of differentially expressed proteins and genes as species- and form-related biomarkers of disease status/progression and evaluated local and spatial differences in most affected brain regions. Our results offer promising targets for potential new therapeutic strategies and reinforce the hypothesis of a connection between NCLs and other forms of dementia, particularly Alzheimer's disease.",37952681,,10.1016/j.nbd.2023.106349,0,Neurobiology of disease,9500169,7.046
Integrative multi-omics analysis reveals novel idiopathic pulmonary fibrosis endotypes associated with disease progression,"Background:Idiopathic pulmonary fibrosis (IPF) is characterized by the accumulation of extracellular matrix in the pulmonary interstitium and progressive functional decline. We hypothesized that integration of multi-omics data would identify clinically meaningful molecular endotypes of IPF.Methods:The IPF-PRO Registry is a prospective registry of patients with IPF. Proteomic and transcriptomic (including total RNA [toRNA] and microRNA [miRNA]) analyses were performed using blood collected at enrollment. Molecular data were integrated using Similarity Network Fusion, followed by unsupervised spectral clustering to identify molecular subtypes. Cox proportional hazards models tested the relationship between these subtypes and progression-free and transplant-free survival. The molecular subtypes were compared to risk groups based on a previously described 52-gene (toRNA expression) signature. Biological characteristics of the molecular subtypes were evaluated via linear regression differential expression and canonical pathways (Ingenuity Pathway Analysis [IPA]) over-representation analyses.Results:Among 232 subjects, two molecular subtypes were identified. Subtype 1 (n = 105, 45.3%) and Subtype 2 (n = 127, 54.7%) had similar distributions of age (70.1 +/- 8.1 vs. 69.3 +/- 7.6 years; p = 0.31) and sex (79.1% vs. 70.1% males, p = 0.16). Subtype 1 had more severe disease based on composite physiologic index (CPI) (55.8 vs. 51.2; p = 0.002). After adjusting for CPI and antifibrotic treatment at enrollment, subtype 1 experienced shorter progression-free survival (HR 1.79, 95% CI 1.28,2.56; p = 0.0008) and similar transplant-free survival (HR 1.30, 95% CI 0.87,1.96; p = 0.20) as subtype 2. There was little agreement in the distribution of subjects to the molecular subtypes and the risk groups based on 52-gene signature (kappa = 0.04, 95% CI= -0.08, 0.17), and the 52-gene signature risk groups were associated with differences in transplant-free but not progression-free survival. Based on heatmaps and differential expression analyses, proteins and miRNAs (but not toRNA) contributed to classification of subjects to the molecular subtypes. The IPA showed enrichment in pulmonary fibrosis-relevant pathways, including mTOR, VEGF, PDGF, and B-cell receptor signaling.Conclusions:Integration of transcriptomic and proteomic data from blood enabled identification of clinically meaningful molecular endotypes of IPF. If validated, these endotypes could facilitate identification of individuals likely to experience disease progression and enrichment of clinical trials.Trial registration:NCT01915511.",37344825,PMC10283254,10.1186/s12931-023-02435-0,3,Respiratory research,101090633,7.162
